time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Precipitation,CloudCover,Temperature,Snowfall,Wind
2007-01-01 00:00:00,304.44199999999995,11.066,28947.469999999994,1258.4000000000012,0.0,35.0,0.0,1.3298458e-07,0.9996948,286.43298,0.0,9.663516
2007-01-01 02:00:00,307.44,11.806000000000004,29187.95,1256.4000000000005,0.0,36.0,0.0,2.3537211e-07,0.5562744,285.98602,0.0,8.988889
2007-01-01 04:00:00,297.11800000000005,11.39,29088.289999999986,1215.6,0.0,35.0,0.0,3.7087335e-09,0.16445923,284.50214,0.0,6.604268
2007-01-01 06:00:00,294.1799999999999,11.579999999999995,28892.16,1213.4000000000005,0.0,33.0,0.0,0.0,0.19714355,283.30905,0.0,7.4860625
2007-01-01 08:00:00,335.27200000000005,8.742000000000003,28855.31999999999,1385.9999999999998,0.0,3.0,722.0,2.053049e-08,0.17279053,282.31317,0.0,8.07111
2007-01-01 10:00:00,314.26400000000007,10.885999999999996,28544.980000000003,1313.799999999998,0.0,35.0,149.0,1.0199017e-08,0.22470093,,0.0,7.210626
2007-01-01 12:00:00,286.69599999999997,11.284000000000004,28585.64999999999,1198.4000000000005,0.0,34.0,0.0,0.0,0.41714478,283.35266,0.0,7.8693676
2007-01-01 14:00:00,192.2139999999999,21.12600000000001,28774.31,812.4000000000003,0.0,35.0,1592.0,0.0,0.48776245,282.97983,0.0,5.3672047
2007-01-01 16:00:00,181.33,14.408,28611.83,754.8000000000003,0.0,35.0,2090.0,0.0,0.09967041,281.69583,0.0,4.332927
2007-01-01 18:00:00,131.65200000000002,11.782,28565.659999999996,547.5999999999991,0.0,28.0,1327.0,1.08348e-07,0.19042969,280.64606,0.0,5.040624
2007-01-01 20:00:00,50.77399999999997,10.304000000000002,28635.0,212.80000000000018,0.0,7.0,0.0,5.581644e-07,1.0,279.2231,0.0,5.313888
2007-01-01 22:00:00,53.62200000000001,13.792000000000005,29097.110000000004,230.79999999999973,0.0,36.0,0.0,8.238686e-08,0.4126587,280.09753,0.0,8.77126
2007-01-02 00:00:00,35.86199999999999,11.413999999999994,29065.26000000001,155.1999999999999,0.0,37.0,0.0,1.3377932e-08,0.41534424,279.7602,0.0,8.0257225
2007-01-02 02:00:00,35.222,9.531999999999998,29218.050000000007,154.60000000000005,0.0,19.0,0.0,1.1920929e-09,0.3327942,279.18195,0.0,6.867508
2007-01-02 04:00:00,58.55000000000002,9.063999999999997,28980.290000000008,249.80000000000004,0.0,18.0,401.0,4.503462e-09,0.3640442,278.32645,0.0,6.104465
2007-01-02 06:00:00,316.6620000000001,12.036000000000005,28795.44,1323.2000000000005,0.0,37.0,1972.0,1.5894572e-09,0.12597656,278.27405,0.0,5.400914
2007-01-02 08:00:00,321.088,14.229999999999993,28411.069999999985,1355.2,1038.0,36.0,2063.0,5.298191e-10,0.33380127,278.00803,0.0,5.398016
2007-01-02 10:00:00,170.77599999999995,11.359999999999996,28667.94,708.6000000000006,132.0,37.0,2098.0,2.3841857e-09,0.44406128,,0.0,4.9713273
2007-01-02 12:00:00,54.79599999999999,10.911999999999994,28861.67000000001,237.20000000000027,0.0,20.0,314.0,2.2914675e-08,0.99713135,280.73822,0.0,6.103508
